country_code,country_name,skill_group_category,skill_group_name,year,value
ar,Argentina,Specialized Industry Skills,Sociology,2015,-38.9
ar,Argentina,Business Skills,Affiliate Marketing,2015,-134.97
ar,Argentina,Business Skills,Sales Leads,2015,-247.56
ar,Argentina,Specialized Industry Skills,Industrial Design,2015,-84.95
ar,Argentina,Business Skills,Revenue Analysis,2015,-87.48
ar,Argentina,Business Skills,Partner Development,2015,-294.48
ar,Argentina,Disruptive Tech Skills,Artificial Intelligence (AI),2015,-77.88
ar,Argentina,Specialized Industry Skills,Apparel,2015,-80.93
ar,Argentina,Soft Skills,Problem Solving,2015,-181.82
ar,Argentina,Business Skills,Economics,2015,-123.36
ar,Argentina,Tech Skills,Game Development,2015,-122.05
ar,Argentina,Specialized Industry Skills,Travel Management,2015,-84.23
ar,Argentina,Disruptive Tech Skills,Human Computer Interaction,2015,-74.37
ar,Argentina,Tech Skills,Software Testing,2015,-152.74
ar,Argentina,Specialized Industry Skills,Urban Planning,2015,-47.48
ar,Argentina,Tech Skills,Animation,2015,-70.19
ar,Argentina,Tech Skills,Mobile Application Development,2015,-89.42
ar,Argentina,Specialized Industry Skills,Translation,2015,-65.97
ar,Argentina,Tech Skills,Software Development Life Cycle (SDLC),2015,-103.91
ar,Argentina,Specialized Industry Skills,Photography,2015,-50.77
ar,Argentina,Tech Skills,Scientific Computing,2015,-64.83
ar,Argentina,Disruptive Tech Skills,Aerospace Engineering,2015,-83.04
ar,Argentina,Specialized Industry Skills,Interior Design,2015,-56.13
ar,Argentina,Specialized Industry Skills,Analytical Reasoning,2015,64.98
ar,Argentina,Specialized Industry Skills,Commercial Photography,2015,-62.71
ar,Argentina,Specialized Industry Skills,Linguistics,2015,-68.68
ar,Argentina,Specialized Industry Skills,Theatre,2015,-9.09
ar,Argentina,Specialized Industry Skills,Airlines,2015,-39.75
ar,Argentina,Business Skills,Digital Marketing,2015,-78.93
ar,Argentina,Specialized Industry Skills,Video,2015,-43.62
ar,Argentina,Business Skills,Advertising,2015,-65.08
ar,Argentina,Tech Skills,Information Management,2015,-59.69
ar,Argentina,Specialized Industry Skills,Hospitality Industry,2015,-68.66
ar,Argentina,Business Skills,Growth Strategies,2015,-75.37
ar,Argentina,Specialized Industry Skills,Visual Arts,2015,-29.23
ar,Argentina,Specialized Industry Skills,Professional Sports,2015,-64.91
ar,Argentina,Tech Skills,Computer Graphics,2015,-45.75
ar,Argentina,Soft Skills,Writing,2015,-44.5
ar,Argentina,Specialized Industry Skills,Mathematics,2015,-53.03
ar,Argentina,Specialized Industry Skills,Politics,2015,-148.57
ar,Argentina,Specialized Industry Skills,Music,2015,-28.26
ar,Argentina,Disruptive Tech Skills,Development Tools,2015,-62.01
ar,Argentina,Specialized Industry Skills,Retail Packaging,2015,-9.37
ar,Argentina,Specialized Industry Skills,Cosmetology,2015,-24.28
ar,Argentina,Business Skills,Corporate Communications,2015,-64.99
ar,Argentina,Specialized Industry Skills,Volunteer Management,2015,-123.0
ar,Argentina,Business Skills,Sales Operations,2015,-86.99
ar,Argentina,Tech Skills,Web Development,2015,-65.82
ar,Argentina,Specialized Industry Skills,Television,2015,-35.45
ar,Argentina,Specialized Industry Skills,Physiology,2015,-14.15
