"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.3","","","7.95","","","8.37","","","7.44","7.4","","","","","","6.53","","","10.43","7.8","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.19","","","","3.33","","10.11","","","14.03","","","16.77","5.5","",
"Africa Western and Central","AFW","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.0634034729263","","","7.46884431863618","","","","","",
"Angola","AGO","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","24.7","28.5","35.1","","","","","","","","","","","","","","","","","","26.13","","","","","2.82","10.87","18.71","","","9.1","","","","","16.55","","15.78","",
"Albania","ALB","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.9","10.5","28.3","24.2","19.9","14.8","13.6","16.6","20.9","21.4","19.3","19.9","4.98","18.2","17.5","7.07","16.8","16.43","13.72","15.64","15.84","13.75","11.49","13.44","15.52","17.12","14.47","12.5","11.88","11.32","","","",
"Andorra","AND","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.457680676243","17.5356614079291","19.2906955230067","19.4092089447027","","19.2366156005759","","19.4801064091929","","19.0797780394806","","","","","","",
"United Arab Emirates","ARE","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","4.51","","","","","","","","","","2.05","","","","","","","","","","2.35","","","","","2.71","","","","","7.06","","","","","","","","","","","4.02","7.14","5.95","5.35","5.72","6.19","",
"Argentina","ARG","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","5.4","4.8","4.19","","","6.6","7.2","7.8","6.93","5.85","6.73","12.7","14.06","22.3","19.31","17.8","14.11","15.18","16.38","17.19","18.83","17.48","15.74","13.52","12.34","","9.68","9.83","9.17","8.49","8.79","8.46","8.36","","","9.45","10.51","10.69","12.36","9.83","",
"Armenia","ARM","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.4","7.4","8.5","10.4","15.2","17.4","13.3","15","","","","","","","","9.77","25.86","19.67","21.23","19.61","18.15","18.07","19.38","19.23","17.49","17.48","11.43","10.37","9.58","7.27","",
"American Samoa","ASM","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.79","","","","","","","","","","6.01","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","28.26","26.99","27.4","26.46","","","","","","","","","","","","","","","","","","","","","","","","","8.78","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","8.19","7.86","7.43","8.53","10.37","9.48","8.76","8.71","8.62","7.9","6.84","7.19","9.17","9.94","10.01","9.37","8.11","8.24","8.08","7.34","6.66","6.07","6.45","6.17","5.98","5.54","5.22","4.93","4.79","4.58","5.41","5.38","5.31","5.33","5.61","6.17","6.07","5.78","5.67","5.32","5.11","6.35","5.01","3.63",
"Austria","AUT","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","4","3.8","2.4","2.3","2.1","2.2","2.8","2.7","2.5","2.6","2.5","2.3","2.42","4.27","5.08","3.59","3.54","3.06","4.05","3.99","3.58","3.57","3.54","3.77","4.5","3.96","4.9","5.21","5.27","5.59","4.76","4.6","4.13","4.53","4.34","6.19","5.89","5.65","5.33","4.45","5.13","4.68","4.64","4.83","5.33","5.43","5.37","5.59","5.1","4.73","4.42","5.02","6.4","",
"Azerbaijan","AZE","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.16","0.23","0.72","0.87","1","1.1","1.24","1.35","18.63","12.73","11.53","10.38","9.27","8.04","7.28","6.33","5.5","5.54","6.58","6.91","6.45","6.09","5.95","5.84","5.87","6","5.9","5.84","5.71","8.41","7.03","",
"Burundi","BDI","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.26","","","","","","","","","13.2","","","","","","","2.37","","1.14","","","","","","1.17","","","","","","0.98","","",
"Belgium","BEL","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","2.7","3.3","3.9","4.7","7.7","10.5","10.8","13.1","12.76","15","18","18.6","17.8","18.28","17.84","17.93","17.6","15.18","12.99","11.43","10.64","9.5","10.82","12.43","12.21","12.41","11.53","11.7","10.21","8.28","6.92","7.8","8","8.28","9.51","9.31","8.44","7.6","8.11","8.52","7.18","7.41","8.17","7.94","7.77","7.56","7.05","5.56","4.94","5.36","5.86","",
"Benin","BEN","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0.15","","","","","","0.59","","","","","","","","","","0.43","","","","","","","","1.14","2.86","","","","","","","1.73","","","","",
"Burkina Faso","BFA","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","0.6","","","","","","","","","","","","","2.58","","","","","","","","","3.9","","","","","","","9.24","","","","4.63","","","","",
"Bangladesh","BGD","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","5.27","6.96","2.84","","","0.86","","2.1","","","","","2.19","","","","3.32","","","4.85","","7.03","6.44","","","7.4","4.36","","","7.41","","","7.29","6.68","","","","","",
"Bulgaria","BGR","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5","11.8","14.1","15.82","18.86","17.36","13.19","11.62","9.84","9.3","7.29","5.76","6.62","9.61","10.11","10.84","11.84","10.4","8.42","6.97","5.95","4.65","3.87","4.77","5.03","",
"Bahrain","BHR","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","9.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.68","","3.88","","","","","","","","","","",
"Bahamas, The","BHS","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","12.3","","27.04","","25.67","","21.15","","","","","","","14.92","","14.2","12.39","7.88","12.1","15.81","13.03","15.22","11.72","14.67","11.34","9.97","9.72","","7.02","","11.84","","11.18","8.02","9.07","9.25","14.04","","15.31","13.97","16.26","14.6","12.9","14.5","10.9","10","","","","",
"Bosnia and Herzegovina","BIH","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.6","","","","","","","","","","17.8","","","","","34.86","32.94","26.78","25.64","29.93","29.94","30.66","29.02","31.17","30.69","30.05","23.13","20.33","18.78","18.54","18.12","",
