"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.2618882145993","17.2522840745449","17.2543036349082","17.1994064197458","17.243368684277","17.479196976179","17.5737521852032","17.6380189496847","17.6893970359796","17.7277733956982","17.8168441714983","17.7826011881259","17.6915449275006","17.7653804509366","17.5371499443084","17.6896575247826","18.0051656229084","18.4023424561233","18.3285758753632","17.8079828597773","18.551914947872","19.0109809293312","19.415744367254","19.8385477716629","20.1338649032794","20.194931066539","20.4145960414724","20.644733199193","20.6743827355258","19.8314179542472","19.8743005881745","",
"Afghanistan","AFG","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9518771","1.003353","1.114518","1.162119","1.220168","1.222301","1.313974","1.412712","1.545407","1.748034","2.06076","1.628022","1.612625","1.76677","1.703261","1.751625","1.624411","1.719982","1.743168","1.837347","2.360636","2.585614","3.169307","4.023759","5.163307","6.491346","7.66211","8.188098","8.377879","7.458117","","",
"Africa Western and Central","AFW","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.76714191178086","8.79228898229583","8.75181402274208","8.71658163805724","8.69559617476723","8.7223559127385","8.79308277783819","8.87561316866196","8.91928529445012","9.09622747879854","9.22639340926686","9.49924344123134","9.72664067097692","9.920017029913","10.1294203139349","10.3984050033616","10.5151760903859","10.7878462960035","11.1224535316431","11.4904790211959","11.7648559419917","11.7594857999622","11.5479239011398","11.8055452094035","12.1237462360427","12.4485589392102","12.7270060413","13.205346315234","13.7370021095129","12.7895564485698","13.0501400698436","",
"Angola","AGO","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.36692","22.54437","22.35556","22.34119","22.0625","22.09911","22.23192","22.42195","22.65187","22.70037","22.55951","22.73181","22.50765","22.4471","21.62059","20.76814","20.14485","19.53367","18.34923","17.25257","16.37809","19.37959","22.39488","25.86944","26.62771","27.0457","27.21867","27.23773","26.98263","25.82404","26.31171","",
"Albania","ALB","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.1366","36.7405","36.38791","36.28022","36.52678","37.0931","36.83426","36.90108","37.47883","38.14335","39.06503","39.77906","40.64219","41.34183","41.08241","42.00685","41.98629","32.93347","34.8553","36.98913","34.89101","32.03666","37.10096","41.27818","42.72091","43.26548","45.06939","47.02677","47.88816","47.9013","49.04114","",
"Andorra","AND","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.440049172417","49.0970373453695","49.2430781480289","49.3055199692127","50.287815986522","50.8517339632304","51.457472198641","52.9880740873815","54.1001941301258","52.6826452010727","55.2764157459701","56.6446045954885","54.715104077859","53.0749297879733","54.1731350553889","55.8495241332679","54.9038962781649","56.6113993292858","57.3098840543106","58.3629951556734","59.8307066032734","61.4485706635626","60.9155688054958","61.0303484385623","62.2293483822714","66.7526038224092","65.9142410940721","66.8568809636165","67.9773430557527","68.0160620446929","68.1524884577119","",
"United Arab Emirates","ARE","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.91029","98.90557","98.89912","98.89265","98.88776","98.88511","98.87987","98.87111","98.87202","98.87561","98.85706","98.85284","98.85331","98.83631","98.73805","98.86781","98.9684","99.05796","99.0142","98.99393","98.96983","98.93496","98.88161","98.83128","98.75625","98.69112","97.5054","96.23592","94.31123","94.39731","93.69493","",
"Argentina","ARG","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.39877","72.48199","71.24931","72.08974","74.8542","74.29009","74.99203","75.4668","75.8316","76.37664","76.09866","78.10338","78.77301","78.95489","79.43198","80.19041","80.88576","80.77623","80.10514","80.62707","81.29308","81.25564","80.86108","80.48827","79.83445","79.19339","78.54916","77.43291","76.59155","75.5358","72.96249","",
