"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","25967.9778950484","30191.3944300631","35887.3868780664","40076.0092827855","40956.0001019289","42815.1228928445","43830.1159676316","45623.9137645108","47814.0222192478","47542.8202465931","46672.7753503658","48471.8915683256","47974.0418469563","47163.5028261595","49483.1707837174","50655.5225987143","49574.5306762838","49632.6900464936","52768.8689330768","52041.1079241768","52015.5638767441","52971.9900399847","53277.6848034614","46476.2327137846","44697.5812479445","45770.4762656978","44931.0560952679","47463.0637636081","47126.2814448713","48485.9529815744","49220.9699258157","51641.2333197394","54088.1655687888","54186.1821461453","44054.2740535723","51642.7550991674","",
"Africa Eastern and Southern","AFE","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21513.9617393236","21713.4024313395","21171.1634818886","22721.2893627353","22967.8126713638","25678.7914907061","26157.6379017693","30641.9815341124","34043.0024513943","32949.7576254933","35667.1716675892","36381.4146788096","36030.4055787636","35429.9889857345","35307.4711991414","35217.9336476653","34623.2518636684","34946.2291173097","33071.4806696974","25488.4565658262","",
"Africa Western and Central","AFW","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","49684.1055866792","45839.3766568031","44221.9611916731","44442.3177028228","45438.6162349384","45364.3354280541","45044.6917312182","45298.9777443677","46483.5346100784","44961.2394932015","41981.9237320476","41011.0909990284","37382.3092518373","27532.3983549965","27022.8779966411","30070.632312394","33025.2096069414","34265.4777580692","34715.7008157292","34346.7684236532","34266.0721912605","34553.2997705587","37986.9673333832","37809.9249892768","40504.6672886814","44964.0551977394","48387.7169240475","53195.0891973757","57005.4779157415","55410.8693907447","55727.3878802107","55535.0935984423","58055.3060128094","58697.5898804765","59302.6030309193","57735.2498625822","54264.2697007204","52294.0995532799","49848.4773050745","47846.0070641933","43696.5945750579","42842.5018086427","42801.0496617957",
"Albania","ALB","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","207060.081949942","214614.976621904","216322.968604428","214123.391960506","207041.266761901","206439.614471583","213901.695441229","208020.476069406","201233.761577374","215166.417077377","191093.802099593","138415.31604419","129248.690853421","142470.766467315","155250.054652543","177023.092248408","194336.269098207","174200.884260331","190778.684302212","216739.979535367","233277.288609002","255005.661706054","267374.648427898","283214.488211669","300084.356308469","318293.122268168","339214.284053016","362237.534094923","392405.068682875","408309.794949239","425553.059864656","437560.645670945","444495.425391179","449772.627778323","458702.359970427","470247.105064285","486613.08316363","505581.807453531","527202.060685688","540506.220011205","525668.03420478","577828.568293674","613684.422261725",
"Andorra","AND","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","38449.8041369587","37478.5215838102","37852.269880431","38189.4113286599","37837.80288659","35789.8382908828","34884.7279408753","33956.5413842127","32734.5728310923","31244.1889198055","30616.9570947179","29438.8863357396","28561.7974143738","27748.8756702612","27072.9878452384","26672.0461389212","26455.2119877206","26732.7682124488","26952.2565936279","27167.1980015105","27178.6953293883","26932.9959952376","26305.8307002077","25210.1849347488","25015.5626914822","24932.9153953725","25596.394219527","27686.4800098946","28350.1027828061","29301.3784174853","30132.3811973312","31751.2533176054","31775.6072774492","33109.1777504161","34394.6030962006","34937.3637661915","36437.0925318807","37974.8746290042","36860.1669844192","35946.7583816281","36386.2749758805","36874.176314708","34819.8217227832","33417.9662869393","34133.4245542509","34562.623700276","35452.4400330852","34950.2282053713","34948.8755282418","35032.1574997053","30570.7850707851","32545.4867525369","35062.1367007416",
"Arab World","ARB","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","383924.942491084","395816.276252611","417650.05199042","360800.438631896","386719.90727083","429163.600145161","413994.871202894","363798.690420737","327012.227813816","321751.778334382","294176.154663597","234985.500276776","226405.508884079","206363.533828558","217831.061255469","243062.740961113","231941.940157828","227484.592986304","219261.887550129","223741.314430422","228410.901491708","228622.685779919","231730.791600801","218483.417684252","212018.586643758","222272.080365569","213711.150837329","208100.225062644","215739.682486404","225729.673038027","220785.243750691","211914.721020038","182409.013449524","158171.547923536","131052.412993748","125474.31661383","132705.945338916","137604.388925108","143126.029431273","147669.139416912","156259.581722301","163531.129787955","163388.324476837","164233.434064512","164765.035563091","155322.278018914","160063.336040179","170542.103597991",
"Argentina","ARG","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","8989.40101605209","9325.68577162433","9096.80238524946","8475.36403523738","9185.83273905731","9997.75473559696","9776.8757988844","9932.05840142296","10250.6943339305","11070.9275380892","11230.703127061","11679.720711549","11682.113574753","11814.8332868916","12258.3809922092","12053.2335055345","11623.6800659651","12232.6217476523","11495.361385518","12469.3079568857","12459.6414055078","11627.762576575","11362.0507118234","11672.8175737479","11675.3131973485","10903.2138452157","11400.5218586534","11533.3025888624","11236.851521098","10278.582778038","9880.04204928068","10629.9372076094","11315.5759312697","12079.0941198875","12613.004669704","12093.742302076","12602.2802134721","13462.1742574004","13819.5071563521","13198.7193992224","12947.0214703367","12240.9172045843","10790.8642247803","11623.8358140688","12545.3917727358","13515.4638150148","14452.758762344","15596.869579383","16069.4212577919","14965.7806008789","16439.0564015752","17226.2707236215","16856.718216504","17070.0712000244","16459.2049590457","16727.4347429468","16207.200833909","16492.0664048258","15898.0865321293","15425.9829164663","13758.0314135673","15045.3946077154","15688.3089542898",
