"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.92","","","5.36","","","6.72","","","6.5","6.5","","","","","","4.97","","","10.77","8.6","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.65","","","","1.36","","7.2","","","10.37","","","10.45","5.6","",
"Africa Western and Central","AFW","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.68613624793013","","","6.46839580551235","","","","","",
"Angola","AGO","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","11.8","11.5","14.8","","","","","","","","","","","","","","","","","","21.31","","","","","4.67","7.91","14.7","","","9.96","","","","","16.45","","15.82","",
"Albania","ALB","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.4","7.8","24.8","20.9","17.3","11.6","11.4","13.8","15.8","16.4","14.9","14.2","4.33","12.9","12.4","6.2","11.8","15.68","12.52","12.14","12.73","13.27","14.81","17.76","19.91","17.25","16.14","14.44","12.63","11.58","","","",
"Andorra","AND","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.21453802038674","7.58706246824511","6.90984556343576","6.61945807842369","","8.25099787053587","","8.48002665054099","","7.1026965378169","","","","","","",
"United Arab Emirates","ARE","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","1.87","","","","","","","","","","1.05","","","","","","","","","","1.72","","","","","2.18","","","","","2.5","","","","","","","","","","","1.07","1.33","1.34","1.34","3.84","2.11","",
"Argentina","ARG","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","4.38","3.86","3.38","","","4.5","5.3","7","7.13","5.33","6.14","8.5","10.34","16.5","15.73","12.91","11.71","13.28","14.05","17.41","20.13","13.73","11.83","10","8.36","","6.47","7.76","6.65","6.24","6.06","6.1","6.47","","","7.51","8.2","9.18","10.75","7.89","",
