"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.3672097554805","30.9939703483214","30.7226693113711","30.4222629545315","30.3112453176727","30.5084505601608","30.3832998179782","30.3242003220432","30.2678789103099","30.0657584156387","30.0080030782736","29.7608016360971","29.5068467731843","29.483328664295","29.3986212427347","29.4319405021618","29.894907950342","30.1138314721291","29.8927290728816","29.7798001173592","30.4494827164516","30.8826958710158","31.3334233581175","31.8741713864939","32.2704379888476","32.3672461656856","32.5312037314045","32.720358947285","32.7266990773418","31.2736638115198","31.6344429082495","",
"Afghanistan","AFG","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.341757","8.381743","8.440229","8.473161","8.518861","8.545583","8.607264","8.677896","8.761552","8.857481","8.970146","9.016659","9.141744","9.316711","9.478732","9.671862","9.864292","10.20701","10.92308","11.71195","12.73539","13.69351","14.85892","16.11819","17.43726","18.77817","20.13265","19.61793","19.12275","17.44526","","",
"Africa Western and Central","AFW","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.7474031083696","18.7015602324469","18.621237777279","18.6493883005631","18.6581909653005","18.7593540333758","18.9988101259232","19.244024666559","19.4463397319119","19.6108359164914","19.9972742731648","20.2690370039226","20.4400819426347","20.7866811611247","21.052865239341","21.2988431959946","21.6289974920358","21.9908656944743","22.3030923227632","22.7603098133699","23.097635682396","23.4029172072313","23.3682287385977","23.6071722287691","23.8815210004195","24.0746133156452","24.4335634136222","24.8580435825394","25.423992688749","23.5893428578154","24.0930723898645","",
"Angola","AGO","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.06727","50.73933","49.8813","49.03106","48.89779","49.02658","49.15767","49.27874","49.40314","49.37256","49.22088","49.49644","49.34005","49.31663","48.61943","47.53335","46.75729","45.84347","43.77277","41.22156","39.39866","42.27446","44.79988","47.1051","46.83966","46.04215","45.297","44.343","43.40918","41.40926","41.73853","",
"Albania","ALB","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.50254","33.45841","33.13176","32.99394","33.36237","33.82787","33.43643","33.80387","34.54102","35.26344","36.36835","37.19798","37.99509","38.98575","40.04003","41.17067","41.84308","44.97636","47.10011","47.81549","42.0568","40.74905","42.99866","42.64914","40.08046","39.9616","41.28212","42.63269","44.08291","44.28428","45.39194","",
"Andorra","AND","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.9507675788169","61.2524679241006","61.3201755481075","61.6476271652322","61.5822783373653","62.0715437566879","62.4490841000179","62.2670862647058","62.3945259385791","62.6427459312667","62.7195227243627","62.2422781114639","62.4031230986174","62.3860930950287","63.6796130275297","65.1293659524625","65.031171243533","66.2072971605043","66.6345347341378","67.580749798269","67.4275452903774","68.1738535792863","68.4784802100465","68.6538554140055","69.2790752535102","70.727032220751","70.6167171697669","70.8240852567004","71.1625641234152","71.1854741921706","71.2343443344991","",
"United Arab Emirates","ARE","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.38395","96.38885","96.38441","96.38307","96.3913","96.41235","96.42799","96.42118","96.4531","96.51978","96.52836","96.53254","96.55254","96.59827","96.69355","96.44305","96.01341","95.42709","95.58581","95.83138","96.05763","96.24213","96.36897","96.51693","96.60465","96.73707","96.33297","95.9855","95.20699","95.22275","95.07842","",
"Argentina","ARG","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.50349","68.55364","67.14997","68.91991","67.85445","68.38649","69.48759","69.74518","69.98913","69.53716","68.69952","67.06693","70.20426","71.17842","71.50854","72.4775","73.20801","73.24323","73.01805","73.55902","73.88206","74.06316","73.40145","73.4479","73.04355","72.35689","71.87155","72.29486","71.17457","71.10501","70.27402","",
