country,date,Code_Country,GDP_per_Capita_current_US_dollars,Inflation_consumer_Prices_Annual,Inflation_GDP_Deflator_Annual,GDP_Constant_LCU,GDP_per_Capita_Constant_LCU,Personal_Remittances_Received_of_GDP,Population_Total,Unemployment_Total_of_Total_Labor_Force,Net_Migration,Unemployment_Male_of_Male_Labor_Force_Nat_Estimate,Unemployment_Female_of_Female_Labor_Force_Modeled_ILO_Estimat,Wage_and_Salaried_Workers_Total_of_Total_Employment_Modeled_ILO_Estimate,Wage_and_Salaried_Workers_Male_of_Male_Employment_Modeled_ILO_Estimate,Wage_and_Salaried_Workers_Female_of_Female_Employment_Modeled_ILO_Estimate,International_Migrant_Stock_of_Population
Argentina,2022,ARG2022,1787618.55193248,,69.6828609147885,725346297489.066,15688.3089542898,0.198887287406639,46234830.0,6.491,,,7.303,,,,
Argentina,2021,ARG2021,1010332.50266592,,54.1524119419346,689210675100.0,15045.3946077154,0.18709787419386,45808747.0,8.74,2344.0,7.89,9.858,71.39813,70.27402,72.96249,
Argentina,2020,ARG2020,599330.961820701,,40.0768830264559,624294930800.0,13758.0314135673,0.168859243887685,45376763.0,11.46,2344.0,10.75,12.39,73.00002,71.10501,75.5358,
Argentina,2019,ARG2019,479729.907461522,,49.1955790596612,693223803600.0,15425.9829164663,0.125380808147072,44938712.0,9.84,4478.0,9.18,10.712,73.49278,71.17457,76.59155,
Argentina,2018,ARG2018,331385.002967333,,42.0336689575031,707377443000.0,15898.0865321293,0.0995468168061567,44494502.0,9.22,4690.0,8.2,10.563,74.47115,72.29486,77.43291,
Argentina,2017,ARG2017,242031.427829262,,26.0063792819079,726389947800.0,16492.0664048258,0.0745674775459197,44044811.0,8.35,4926.0,7.51,9.491,74.66,71.87155,78.54916,
Argentina,2016,ARG2016,188760.95646864,,41.1193799882279,706477848600.0,16207.200833909,0.0702343228308766,43590368.0,8.109,5215.0,,9.25,75.19785,72.35689,79.19339,
Argentina,2015,ARG2015,138053.315160733,,26.5799916024707,721487146600.0,16727.4347429468,0.0831331023452092,43131966.0,7.524,5522.0,,8.645,75.85278,73.04355,79.83445,2086302.0
Argentina,2014,ARG2014,107315.211694536,,40.2829716315506,702306046000.0,16459.2049590457,0.0960152008279335,42669500.0,7.27,5801.0,6.47,8.393,76.3465,73.4479,80.48827,
Argentina,2013,ARG2013,79338.285078988,,23.9487984162746,720407105300.0,17070.0712000244,0.0969166746867399,42202935.0,7.1,5369.0,6.1,8.508,76.45258,73.40145,80.86108,
Argentina,2012,ARG2012,63208.8926890011,,22.3148806733049,703485989500.0,16856.718216504,0.105778682207302,41733271.0,7.22,3127.0,6.06,8.848,77.00481,74.06316,81.25564,
Argentina,2011,ARG2011,52810.1167359686,,23.7034721839593,710781597200.0,17226.2707236215,0.131541793716221,41261490.0,7.18,-1011.0,6.24,8.524,76.90295,73.88206,81.29308,
Argentina,2010,ARG2010,40739.9840807887,,20.915124272047,670523679400.0,16439.0564015752,0.152091367663287,40788453.0,7.71,-4970.0,6.65,9.214,76.44277,73.55902,80.62707,1805957.0
Argentina,2009,ARG2009,30673.4564268933,,15.3776493708921,608872876400.0,14965.7806008789,0.188764794272549,40684338.0,8.65,-7869.0,7.76,9.874,75.95652,73.01805,80.10514,
Argentina,2008,ARG2008,28545.7785339137,,23.1711649813124,647176159700.0,16069.4212577919,0.195029381449765,40273769.0,7.84,-12450.0,6.47,9.755,76.31718,73.24323,80.77623,
Argentina,2007,ARG2007,22494.173870165,,14.9399250245835,621942502600.0,15596.869579383,0.210933764847302,39876111.0,8.47,-18051.0,,10.497,76.35677,73.20801,80.88576,
Argentina,2006,ARG2006,18134.786680427,,13.7410524859152,570549404200.0,14452.758762344,0.232474118424109,39476851.0,10.08,-19958.0,8.36,12.434,75.64774,72.4775,80.19041,
Argentina,2005,ARG2005,14909.9232922557,,10.3175111982406,528055942500.0,13515.4638150148,0.217417890692876,39070501.0,11.51,-21961.0,10.0,13.6,74.7487,71.50854,79.43198,1673088.0
